INC000002657217;Atrasou;00 01:24:11;7259MOD-SIAPC-BATCH;PRD - CONTROLM - APC79BFZ - CONDIÇÃO NÃO SATISFEITA;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoD45.;11/5/2019 14:37:12
INC000002657918;Atrasou;00 01:03:27;7259MOD-SIPLD-BATCH;CTRLM-SIPLD-WKF_PLD_ARMZA_CNTA_DSPSTO_SIDEC_INCREMENTAL-MP-ABEND ORDER ID 0qt3i;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;10/5/2019 22:31:33
INC000002658251;Atrasou;00 01:51:06;7259MOD-SIEMP-BATCH;CTRLM-SIEMP-EMP12MZF-MF-ABEND ORDER ID COVMQ;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoD45.;11/5/2019 08:39:33
INC000002658274;Atrasou;00 02:23:02;7259MOD-SIAPC-BATCH;CTRLM-SIAPC-APC78M3I-MF-ABEND ORDER ID COQBW;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoD45.;11/5/2019 09:04:45
INC000002658353;Atrasou;00 02:30:02;7259MOD-SIAOI-BATCH;CTRLM-SIAOI-AOIAL222-MF-ABEND ORDER ID COJEQ;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;11/5/2019 12:50:13
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
