INC000002574490;Atrasou;00 01:08:47;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP22-MF-ABEND ORDER ID BTTJ4;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:17
INC000002574491;Atrasou;00 01:08:39;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP25-MF-ABEND ORDER ID BTTJ5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:24
INC000002574492;Atrasou;00 01:08:31;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP31-MF-ABEND ORDER ID BTTJ6;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:31
INC000002574493;Atrasou;00 01:08:23;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP32-MF-ABEND ORDER ID BTTJ7;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:38
INC000002574494;Atrasou;00 01:08:13;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP33-MF-ABEND ORDER ID BTTJ8;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:46
INC000002574495;Atrasou;00 01:08:05;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP34-MF-ABEND ORDER ID BTTJ9;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:34:53
INC000002574496;Atrasou;00 01:16:12;7259MOD-SIACI-BATCH;CTRLM-SIACI-ACI02MZX-MF-ABEND ORDER ID BTTJE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:35:05
INC000002574497;Atrasou;00 01:41:34;7259MOD-SIACI-BATCH;CTRLM-SITAH-ACITPTT1-MF-ABEND ORDER ID BTEZY;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:35:23
INC000002574502;Atrasou;00 01:27:20;7259MOD-SIACI-BATCH;CTRLM-SIACI-ACITRFGU-MF-ABEND ORDER ID BTTJK;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:47:36
INC000002574503;Atrasou;00 01:38:29;7259MOD-SIFES-BATCH;CTRLM-SIFES-FESREPASSE-MP-ABEND ORDER ID 0nf00;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 08:01:18
INC000002574506;Atrasou;00 02:53:13;7259APL-SIRIC;SINEIRO - Painel de Indicadores - SIRIC - Ocorrência: Fila de Pesquisas acima de 200;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;23/2/2019 08:10:14
INC000002574510;Atrasou;00 01:05:37;7259MOD-SIAPX-BATCH;CTRLM-SIAPX-APX05MZR-MF-ABEND ORDER ID BTFWU;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;23/2/2019 08:20:47
INC000002574577;Atrasou;00 01:26:34;7259MOD-SIOPI-BATCH;CTRLM-SIOPI-OPI07REO-MF-ABEND ORDER ID BTGPV;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 10:42:57
INC000002574605;Atrasou;00 01:00:32;7259MOD-SIPCS-BATCH;ZBXPRD - SNI - 7259MOD-SIPCS-ONLINE - SIA - Antifraude - Fila FPDO - Fila SAF x antifraude;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 11:45:53
INC000002574623;Atrasou;00 03:47:20;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIPOSPRD89_ARCH-MP-ABEND ORDER ID 0nfur;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 13:00:34
INC000002574635;Atrasou;00 01:33:59;7259MOD-SIPCS-BATCH;ZBXPRD - SNI - 7259MOD-SIPCS-ONLINE - SIA - Antifraude - Fila FPDO - Fila SAF x antifraude;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 13:36:20
INC000002574643;Atrasou;00 01:10:19;7259MOD-SIPCS-BATCH;ZBXPRD - SNI - 7259MOD-SIPCS-ONLINE - SIA - Antifraude - Fila FPDO - Fila SAF x antifraude;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 14:00:29
