INC000002440563;Atrasou;00 07:02:09;7259APL-SIATC;*EMAIL - SIATC -  VALORES DIVERGENTES NO PARCELAMENTO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45;16/10/2018 16:24:43
INC000002456852;Atrasou;00 02:05:53;7259MOD-SIARA-BATCH;CTRLM - SIARA - ARA38MZB - MF - DEMORA EXCESSIVA  ORDER ID AO2N8;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/11/2018 15:06:35
INC000002458909;Atrasou;00 01:46:07;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA38MZB-MF-ABEND ORDER ID AO2N8;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;3/11/2018 18:26:28
INC000002459765;Atrasou;00 02:25:29;7259MOD-SIARA-BATCH;CTRLM - SIARA - ARA02MZ* e ARA09MZ* - MF - ROTINAS PENDENTES DE EXECUÇÃO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;6/11/2018 09:35:37
INC000002463488;Atrasou;01 03:26:04;7259APL-SIAOI;SEMÁFORO – MAINFRAME - SIAOI  - AOI01MZA INDISPONÍVEL AOI01MZB INDISPONÍVEL;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45;9/11/2018 07:13:42
INC000002463853;Atrasou;00 14:33:51;7259MOD-SIPCS-BATCH;CTRLM-SIPCS-PCS9SI06-MF-ABEND ORDER ID 7T4V4;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;6/11/2018 19:57:08
INC000002464237;Atrasou;00 02:51:34;7259SLM-CX0000UX1077;ZBXPRD - SNI - cx0000ux1077 - Disco: Porcentagem livre no filesystem /prd/ged001;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;7/11/2018 00:55:54
INC000002465709;Atrasou;01 16:02:34;7261SWR-MF-ORACLE VTSC (VIRTUAL TAPE CONTROL SISTEM) 7.3.0;MIDIA - PSP1 ACIONAR OPERACAO - FALHA NA COMUNICACAO COM RTD RDDC5709;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;7/11/2018 15:10:59
INC000002466982;Atrasou;00 01:41:13;7259MOD-SIEMP-BATCH;CTRLM-SIEMP-EMPCARGA-MF-ABEND ORDER ID AQG6P;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;8/11/2018 17:51:15
INC000002467081;Atrasou;00 17:11:34;7259FUN-MONITOR PAINEL;CTRLM-SIWOC-SQLPRD02_ENVIA_TSM-MP-ABEND ORDER ID 0ija5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;8/11/2018 21:42:13
INC000002467187;Atrasou;00 01:06:21;7259MOD-SINAF-BATCH;CTRLM-SINAF-NAF00LCO-MF-ABEND ORDER ID AQJ6N;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;9/11/2018 02:30:02
INC000002467228;Atrasou;00 01:11:21;7259MOD-SIOPI-BATCH;CTRLM-SIOPI-OPI05MZB-MF-ABEND ORDER ID AQBD8;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;9/11/2018 05:02:19
INC000002467257;Atrasou;00 01:00:16;7259INA-MQ-BRPN;PRD - MAINVIEW - SNI - BRPN - ADEADQUEP1S00 P5DF FILA BRPN.DEAD.QUEUE ACUMULADA (91);03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;9/11/2018 06:24:37
