INC000002840862;Atrasou;00 01:15:59;7259MOD-SISPB-BATCH;CTRLM-SISPB-SPB01MZM-MF-TEMPO EXCEDIDO ORDER ID 99KXX;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;18/10/2019 23:10:08
INC000002841128;Atrasou;00 01:09:01;7259MOD-SIPCS-BATCH;CTRLM-SIPCS-FDLTRAVI-MF-ABEND ORDER ID 1ONYM;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;19/10/2019 02:54:20
INC000002841196;Atrasou;00 01:22:05;7259MOD-SIAPX-BATCH;CTRLM-SIAPX-APX04ME2-MF-TEMPO EXCEDIDO ORDER ID EFGCO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;19/10/2019 04:55:07
INC000002841280;Atrasou;00 01:21:55;7259MOD-SEPRD-BATCH;CTRLM-SEPRD-DAILYPRD-MF-ABEND ORDER ID EFVG7;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoD45.;19/10/2019 13:45:14
INC000002841316;Atrasou;00 03:21:32;7259MOD-SIINA-BATCH;CTRLM-SIINA-INA02MZZ-MF-ABEND ORDER ID EFV6I;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;19/10/2019 09:11:25
INC000002841363;Atrasou;00 01:04:54;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKISQLPRD27LOG_3DF-MP-ABEND ORDER ID 0yake;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;19/10/2019 13:47:57
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
