INC000002526132;Atrasou;00 01:07:54;7259MOD-SIPES-BATCH;CTRLM-SIPES-PES01MZA-MF-ABEND ORDER ID BAILK;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;3/1/2019 21:01:12
INC000002526406;Atrasou;00 01:06:28;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZC-MF-ABEND ORDER ID BAJE5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 02:37:06
INC000002526406;Atrasou;00 03:23:56;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZC-MF-ABEND ORDER ID BAJE5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 02:37:06
INC000002526921;Atrasou;00 01:01:59;7259APL-SIFES;*PRODUÇÃO.7259APL-SIFES.INDISPONIBILIDADE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 18:48:53
INC000002527716;Atrasou;00 01:54:44;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA37MZC-MF-ABEND ORDER ID BASTL;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 17:01:12
INC000002527716;Atrasou;00 02:23:41;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA37MZC-MF-ABEND ORDER ID BASTL;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 17:01:12
INC000002527816;Atrasou;00 01:11:16;7259MOD-SIPES-BATCH;CTRLM-SIPES-PES01MZA-MF-ABEND ORDER ID BAVRX;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 21:01:14
INC000002528205;Atrasou;00 01:34:16;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZA-MF-ABEND ORDER ID BAX5G;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;5/1/2019 03:16:05
INC000002528205;Atrasou;00 03:22:27;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZA-MF-ABEND ORDER ID BAX5G;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;5/1/2019 03:16:05
INC000002528342;Atrasou;00 01:06:45;7259MOD-SICLI-BATCH;CTRLM-SICLI-CLI51MZE-MF-ABEND ORDER ID BAY00;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;5/1/2019 10:32:59
