INC000002841939;Atrasou;00 01:02:18;7259MOD-SICLI-BATCH;CTRLM-SICLI-CLI08MZA-MF-ABEND ORDER ID B9QTF;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;20/10/2019 23:43:16
INC000002841944;Atrasou;00 01:04:01;7259MOD-SEPRD-BATCH;CTRLM-SEPRD-LOGDB2-MF-ABEND ORDER ID EFYC9;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;21/10/2019 00:00:38
INC000002841946;Atrasou;00 01:03:25;7259MOD-SEPRD-BATCH;CTRLM-SEPRD-PRDPTS1G-MF-ABEND ORDER ID EFXTF;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;21/10/2019 00:01:13
INC000002841947;Atrasou;00 01:03:15;7259MOD-SEPRD-BATCH;CTRLM-SEPRD-PRDPTS1R-MF-ABEND ORDER ID EFXX5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;21/10/2019 00:01:22
INC000002843457;Atrasou;00 02:04:32;7562APL-SINPC;GRAFANA - HADOOP: SINPC - SIORM Correlação - Mensages retiradas do MQ / Hawq: Delta;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;24/10/2019 15:37:12
INC000002846231;Atrasou;00 01:01:56;7260MOD-SIGHB-BATCH;WKF_GHB_HISTORICO_SIRIC;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;24/10/2019 10:59:43
INC000002847116;Atrasou;00 02:01:26;7562APL-SINPC;GRAFANA – HADOOP:SINPC – SIORM MONITOR – MENSAGENS RETIRDAS DO MQ- DELTA 3MIN /;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;24/10/2019 15:37:12
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
